tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,profileIconId,revisionDate,summonerLevel
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,12axPragIGvp4yzIChddZkkLii5kF_cSgx_fSMXIsoZPHJ3HvzpvBK1XwQ,2019BLGJAlielie,280,I,97,84,False,False,True,False,9AhaQ1cjZG5hjiQuRwAVNFDcjhRJHBUaBNk9gbD4D-gMUg0PEOMVIdD2,ek3i9vKc76Dsot3CVIn01P3Y1lNLI1K0i9PPeHDuEpL1iG0-sO2HOCrcRGBxRYVKSLd7yw8EFzTmlg,22,1640940918000,195
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,FcpH_fJoyD6WPOoQ8BadjcDmCBbgOUCbasxcjM-PHgwZ0-o,열심히해볼생각,211,I,67,67,False,False,True,False,IutwwSCV-NMghRjSB0HJHVCzhgeoxR-NATQZoAcNDNLJCPfwrYHl004_,ud5N8ammIeetN40JW3p8c184IJwBfFqZ4xD5wFIH0NObrVzXZ6RTg27cxO_DX4YbED2KhIAfD_9YBg,5184,1641871773000,208
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,n-KeuA9Azn0zbCvkG4YitAodrsLrQ2Gni3u2sPh_oWOTbRQB7tGyrO9HAg,남장구,275,I,83,67,False,False,True,True,3nAlUyL5Tv5GvKzeF58D9rhNJuM2zInw4sOB1U33bxpOq-LLhpDPlEaK,8LfbezXXxDVxptfmy7Tug4GhNHm10G1-r5LJmUuurLbqjmPVF-QmFbYhKD6u-e93vW1DoNWB-K4nEQ,5213,1642087794000,198
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,R1GF-N5uVvzFshdsdf7PLddTojgJQoUcu395X51Yl3OB5j6rTaY8BMy0Lg,ClearLove9,321,I,86,66,False,False,True,True,si2JWkcTpxYIVm8xA0NDJI10AZ_7c9frkp8J_R8UWgA7cG9uVmXSGYoo,l9B7005A5dAZND4LlBQtSKjt3KJB5wI9DQzFZsKyhP43bNZ8AJhVwt0oObN5jBsW-pUa0dLFMzyzGg,907,1641961300000,56
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RtV9luI2jMwcEd7t8Sej24BINlpCxC0lbr8OyyjCKZyIWro,Juhana,169,I,48,42,False,False,True,False,I6UQzNsAIjBY1uqZxkfxYg3mL4haWI2ne4XvSxcBHDNlkB-KZ8uffDhq,g2EiQWgwOcAwGNA6s6VDcqtvuZlwKE-w5MitPhnEIvrcHrZ5hTjXD03jI2Gp11kTQ6kfg6w_EEG22Q,4755,1642251939610,621
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Ni-P_iFmpydYw7WwREegedJKrLSkgQgHTKEdD0wtTqaIAas,jkjkjkjkk,205,I,59,53,False,False,True,False,tNrsgrVlq2yIMbMGQdIkqShEAHEVltDMZBArXMWO44YCXOg,FUAO938A2vS6VmiNeuSPD8QhEU0Ho0QCE7bvQfz9OlZlrys77nfiLEDg6-QvxFSaQPorjPwXVTS0OQ,933,1641633146000,782
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,5hKTxh3QBBe1kHAKSbHtBuBxlZixgT7AX97s5Dbhfxnwux3Aciatd9jFJA,jrejke,314,I,56,43,False,False,True,False,cZybTiUXHQepccZWsb--pAYlSIT-UldYqyVeh7CbhSgGsPcXRZ4MCgis,YD6e_K1_CQZnQMIGIN_fxOAYFRv_81ldsu6vl3QY6VCvo1uh99D92cO-wvwKWomNKt-5UF9CF_K0ow,4,1641628517000,45
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,3FrLW8UyKweddHV8pwHYr4qnC2YYWYavdU4jlwM4jcfK4-fC4JbTE6A3WA,꽃바다인질,340,I,48,22,False,False,True,False,l229yJHmrd3BojIVMh-bJv8rPhOYGDjR_WqVfAyXvPrfU1pzJIWM6IdF,pXYH_nKZHZzNLci8lGmQ443EQvhIdeQvUUnZ-f0TUqagClm_4ucUALdgIk5thPX9aKu-fXkVkHNXOA,5063,1641982037000,84
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,QfKv2xXDZEly8eE8IuqAZxk9-UZx1t9PtmMeNazBlx6ywqAZtFCAiMT34Q,JUNGIE GOD 12,97,I,72,64,False,False,True,False,CXPUKDYyArTf5hF6HCNWtnA4R6cHsZGyj5xn7O1DMOex1LKjo5T43nx1,IY4yw-k1acd8RCzxZaN8_6tCMUyuXPpQkE2rVgbEXNa77SSho3RGRRFkhgrHiyLPLw3--mE2xUrbyQ,29,1642209588411,117
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,q0fFrc7Ge9IlT_8WqbphodlK-JYkrxj_2Q-1E2vI4SKOE_3TAyafV9OZ-A,123344,232,I,49,40,False,False,True,False,7lRpEe712ablTT9L9kqVozO_6vtr82a5k9wca2FXgDXqKNb-oWrAZWMW,L031bF5ygG_IZJuFVit9HoHe_k17VLLarepITYp3iqVK_xjUT1ANW9mSKbdoTKOXmooHrBKzR0ZE1A,5212,1641474138226,174
