tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,I7_hkfVBtIMdIgcX13jWRELlfYgB3W6rsFMERi4qahCBRI4,whisper snow,472,I,72,52,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,asSuspwmVEquZ0iGl6hvcb7y2za8sc6KgrOgpmbigYyX84QgM7G7aUw24Q,wow ohhhhhhhh,321,I,45,34,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,I8U7SzOW8qAYzDaQOtYFuuACmEDFypiZayuolgK_q4DxgPV05Ur_qxLDOg,CscyDzhbzBZ,292,I,52,44,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,GSfXxYc_lklCsMp1m3jcoXXEHU7Fxy4zg9teTSrKqzJzcHxNcUJenZhbUw,adasdasdfaf,225,I,71,66,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,HKXkUFCseVr6kaNbb_MalTu_pqYaLMkHFPzVcR0CTOBoWQw,Samver,229,I,58,54,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,kfi4Wbia_nezxFrProwBKEN_rY59g7Pc8gIOcpj9KYKhkuI,Pungyeonn,349,I,77,67,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,SRymbg4nNTVm4xvGU-VWgI9uQiAm96DMIFKMnmjY1pQERnk42HYqALK9vw,liuxingyu,267,I,39,25,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,aDW2nSx6YdCP0DHZ5Wpb1Z3Rk0Z1VCpNfePaFgG068HLuIG6OnX2kH_AEw,제때에즐기다,221,I,49,36,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,XnmUl7paASvRNf4Y7tAXmVtSJjVgz67E0LedZfuKsZEAx0Q,KING MIR,412,I,62,46,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Mo2LX12j4Npr4pxxuYXxy4wntdBzEFpG4_0TTr4MrI8yA-Bu,농심라면다내꺼야,304,I,42,33,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,x4Y19Qt3uNx5ckIxTqX-bQc6RJnJcuoC3rgKy2If3E-inj2TG0ijLVSarg,trimester,351,I,64,47,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,ov8qSbf78061gL5AtlrmH1aF7iWFwzrPd9eiEfe57H8dl58,lixingyi,373,I,61,38,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,0eVPwh2ZiNdrbKW9Udx9Zz8_GqDcn-lah2Xj04gJT3m7ciXN_-vLhAGL9Q,zhzj,334,I,55,48,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Hbbsa3Rn1vnxZRlWCD0TSeHW8S9Au6klpJpII14jLr2nIBPc6WTpIniQBg,Xianyufanshen,307,I,60,52,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,61HFo0ubpATtF2T9EB3F-VR4Xe5O8eN2xbS3fLdqpM8tRBw,병장 이승빈,232,I,44,26,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,C4Itw-04lEI1UJ8GAPjrLlljnq6LdiRBuKaC5GUYUk3_zpQ,커피물조절장인,491,I,79,58,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,fyOuYQCK9LjfUwzDXRaqtFZRF6Mtfx97hltTtctzrFWvpso,이 차가 식기전에,433,I,78,73,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RkOWsAAQZ1C1SHt4Ay89G6ll8R8KVyzFwj3KHG5MyUy5K-w,달인 카직스,205,I,89,77,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RbyKOKT-L_MyeVzia1zBKw9Mn41K9NDCCJExHR-Rda2OmGg,ziyou,241,I,40,32,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,_-McZg_a5G5Lx1ZoupF8MVzrNkeAnDuKIueURZ1ooGtsUU_UPmFFQsHdjA,마쎄옐로우3미리,334,I,106,93,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RBbaoBVoKMaOvabMTh_W3fDQdImrx5aalLuK0QFwd7iOfOc,누쇤퍅,425,I,82,67,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,8YrLyIvnpqeA7JELgYChZwD9oJ8pKZ9ZeigTgcqdpH-YOqHVbIIfxlC2vw,neineineinei,233,I,70,56,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,MOK7sBRwMIGa-il-3WoA4FLyxfaAuZNMGqWWBxgJf1YQCg,Z7xZ7,240,I,64,54,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,1evZgbpn5UbNO7iddPZ8brap4NkUm_-ECUNBXWyF1mEXBXFxRFLQvFI15w,지훈백크,210,I,55,47,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,CBF-AsIW_iEWBTgbHdf_jxlZooJ32S4dX89WhbtsQuKJ_FSGAHI2uNTBLg,Honp1,422,I,93,69,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,DVN-vqSsquAJRgNWMRi9jzyRO6cqDNd6E5DuMZPoimVFthE,Yorick,333,I,62,56,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,I-myM-3mKdMYcvJhHgpvR-eQzQJh9dqDgyONELbnlAbNhlg,o1dmaybe,290,I,75,60,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,OHbZqcMdsS05xQP1yBVGNzSlXdaTIYpdsnEqo92gUxowJr0dky1Pz8nDBA,씹야무지다,119,I,58,46,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,11R96FBOg1bCxa5LgdsWnq0pYzd0k05kzIIAJgd8OemRBaI,Canna00,381,I,48,28,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,P6c6UdMZsx2Llu8N1PfEUFXlLbNloUvVCn9-ORAiD78e4Bc,지성0153,251,I,45,25,False,False,True,False
